"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 10:22:00.677000+00:00","2019-09-01 11:09:19.738000+00:00","2839","1038","South Trinity Road","Corner of South Trinity Road and Ferry Road","55.97132539148155","-3.207963567424258","862","Cramond Foreshore","Cramond foreshore by turning circle","55.980023741808324","-3.3006220169811513"
"2019-09-01 10:22:04.978000+00:00","2019-09-01 11:07:39.452000+00:00","2734","1038","South Trinity Road","Corner of South Trinity Road and Ferry Road","55.97132539148155","-3.207963567424258","862","Cramond Foreshore","Cramond foreshore by turning circle","55.980023741808324","-3.3006220169811513"
"2019-09-01 10:26:47.921000+00:00","2019-09-01 10:36:38.586000+00:00","590","347","Simon Square","Corner of Simon Square & Gilmour Street","55.944867799682754","-3.182670511194715","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 10:27:26.952000+00:00","2019-09-01 10:48:09.752000+00:00","1242","1026","Constitution Street","Next to Burns Statue","55.97544142756835","-3.166806411195239","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 10:29:23.660000+00:00","2019-09-01 10:34:26.210000+00:00","302","265","Meadows East","Melville Terrace","55.939809466328285","-3.182738850746432","1028","The Tron","Next to Tron Kirk Royal Mile","55.95003729291336","-3.1878215188269223"
"2019-09-01 10:31:15.698000+00:00","2019-09-01 11:20:54.317000+00:00","2978","257","Portobello","Edinburgh Leisure Tumbles Centre","55.957004308392506","-3.1168881187301167","356","East London Street","Outside St. Mary's Primary School","55.95994339132352","-3.187329201962484"
"2019-09-01 10:33:02.915000+00:00","2019-09-01 11:17:44.142000+00:00","2681","1026","Constitution Street","Next to Burns Statue","55.97544142756835","-3.166806411195239","1026","Constitution Street","Next to Burns Statue","55.97544142756835","-3.166806411195239"
"2019-09-01 10:38:33.853000+00:00","2019-09-01 11:08:21.119000+00:00","1787","885","Wester Coates Terrace","Corner of Wester Coates Terrace & Roseburn Terrace","55.9456092021698","-3.2317156191592176","648","Western General","Western General virtual station across from public multi storey","55.96345848770889","-3.23280956008216"
"2019-09-01 10:38:38.713000+00:00","2019-09-01 11:01:08.601000+00:00","1349","885","Wester Coates Terrace","Corner of Wester Coates Terrace & Roseburn Terrace","55.9456092021698","-3.2317156191592176","884","IGMM","IGMM at Western General Hospital","55.96248692705142","-3.232031328469361"
"2019-09-01 10:38:39.489000+00:00","2019-09-01 11:11:19.297000+00:00","1959","248","Bristo Square","Bristo Square, near Potterrow","55.94583371599285","-3.189053072075467","355","Inverleith Row","Corner of Inverleith Row & Inverleith Terrace","55.964145597867244","-3.2020735606114386"
"2019-09-01 10:38:48.203000+00:00","2019-09-01 11:11:46.214000+00:00","1978","248","Bristo Square","Bristo Square, near Potterrow","55.94583371599285","-3.189053072075467","355","Inverleith Row","Corner of Inverleith Row & Inverleith Terrace","55.964145597867244","-3.2020735606114386"
"2019-09-01 10:40:12.099000+00:00","2019-09-01 11:21:03.207000+00:00","2451","885","Wester Coates Terrace","Corner of Wester Coates Terrace & Roseburn Terrace","55.9456092021698","-3.2317156191592176","355","Inverleith Row","Corner of Inverleith Row & Inverleith Terrace","55.964145597867244","-3.2020735606114386"
"2019-09-01 10:40:17.385000+00:00","2019-09-01 11:20:48.477000+00:00","2431","885","Wester Coates Terrace","Corner of Wester Coates Terrace & Roseburn Terrace","55.9456092021698","-3.2317156191592176","355","Inverleith Row","Corner of Inverleith Row & Inverleith Terrace","55.964145597867244","-3.2020735606114386"
